Source,Target,Type,Id,Label,timeset,Weight
22480390,112840687,Undirected,516,,,1
22480390,209543255,Undirected,517,,,1
22480390,546700624,Undirected,518,,,1
22643458,27835117,Undirected,524,,,1
22643458,29037626,Undirected,525,,,1
22643458,51151239,Undirected,526,,,1
22643458,51415668,Undirected,527,,,1
22643458,55859088,Undirected,528,,,1
22643458,75730636,Undirected,529,,,1
22643458,123135073,Undirected,530,,,1
22643458,335066620,Undirected,531,,,1
22794354,36726292,Undirected,539,,,1
22794354,44213703,Undirected,540,,,1
22794354,82877090,Undirected,541,,,1
22794354,97673870,Undirected,542,,,1
22794354,101326289,Undirected,543,,,1
22794354,132535988,Undirected,544,,,1
22794354,138385912,Undirected,545,,,1
22794354,141201828,Undirected,546,,,1
22794354,227089859,Undirected,547,,,1
22794354,237113671,Undirected,548,,,1
24457357,27280042,Undirected,557,,,1
24457357,27835117,Undirected,558,,,1
24457357,29560623,Undirected,559,,,1
24457357,51474395,Undirected,560,,,1
24457357,55859088,Undirected,561,,,1
24457357,57146654,Undirected,562,,,1
24457357,75730636,Undirected,563,,,1
24457357,92102535,Undirected,564,,,1
24457357,112323601,Undirected,565,,,1
24457357,117257470,Undirected,566,,,1
24457357,123135073,Undirected,567,,,1
24457357,139023671,Undirected,568,,,1
24457357,169281899,Undirected,569,,,1
26919756,27835117,Undirected,571,,,1
26919756,41848358,Undirected,572,,,1
26919756,48038134,Undirected,573,,,1
26919756,51109331,Undirected,574,,,1
26919756,51474395,Undirected,575,,,1
26919756,81809586,Undirected,576,,,1
26919756,95872161,Undirected,577,,,1
26919756,117257470,Undirected,578,,,1
26919756,118572183,Undirected,579,,,1
26919756,139538492,Undirected,580,,,1
26919756,154318196,Undirected,581,,,1
26919756,238700453,Undirected,582,,,1
26919756,244474708,Undirected,583,,,1
26919756,591276730,Undirected,584,,,1
26982849,94858410,Undirected,586,,,1
26982849,105656625,Undirected,587,,,1
26982849,157117061,Undirected,588,,,1
26982849,227089859,Undirected,589,,,1
27280042,27835117,Undirected,596,,,1
27280042,57146654,Undirected,597,,,1
27280042,75730636,Undirected,598,,,1
27280042,92102535,Undirected,599,,,1
27280042,123135073,Undirected,600,,,1
27280042,139023671,Undirected,601,,,1
27280042,169281899,Undirected,602,,,1
27835117,29037626,Undirected,623,,,1
27835117,30554816,Undirected,624,,,1
27835117,41848358,Undirected,625,,,1
27835117,48038134,Undirected,626,,,1
27835117,48823116,Undirected,627,,,1
27835117,51109331,Undirected,628,,,1
27835117,51151239,Undirected,629,,,1
27835117,51415668,Undirected,630,,,1
27835117,55859088,Undirected,631,,,1
27835117,64971391,Undirected,632,,,1
27835117,71079139,Undirected,633,,,1
27835117,75730636,Undirected,634,,,1
27835117,79993521,Undirected,635,,,1
27835117,81809586,Undirected,636,,,1
27835117,92102535,Undirected,637,,,1
27835117,95872161,Undirected,638,,,1
27835117,112323601,Undirected,639,,,1
27835117,117257470,Undirected,640,,,1
27835117,118572183,Undirected,641,,,1
27835117,123135073,Undirected,642,,,1
27835117,139023671,Undirected,643,,,1
27835117,139538492,Undirected,644,,,1
27835117,154318196,Undirected,645,,,1
27835117,157945423,Undirected,646,,,1
27835117,169281899,Undirected,647,,,1
27835117,185242892,Undirected,648,,,1
27835117,200219603,Undirected,649,,,1
27835117,227089859,Undirected,650,,,1
27835117,238700453,Undirected,651,,,1
27835117,244474708,Undirected,652,,,1
27835117,253520047,Undirected,653,,,1
27835117,298914898,Undirected,654,,,1
27835117,335066620,Undirected,655,,,1
27835117,591276730,Undirected,656,,,1
29037626,30554816,Undirected,662,,,1
29037626,48038134,Undirected,663,,,1
29037626,51109331,Undirected,664,,,1
29037626,51415668,Undirected,665,,,1
29037626,92102535,Undirected,666,,,1
29037626,110543924,Undirected,667,,,1
29037626,117257470,Undirected,668,,,1
29037626,118572183,Undirected,669,,,1
29037626,163604438,Undirected,670,,,1
29037626,200219603,Undirected,671,,,1
29037626,238700453,Undirected,672,,,1
29037626,253520047,Undirected,673,,,1
29037626,591276730,Undirected,674,,,1
29560623,51474395,Undirected,680,,,1
29560623,55859088,Undirected,681,,,1
29560623,57146654,Undirected,682,,,1
29560623,123135073,Undirected,683,,,1
29560623,169281899,Undirected,684,,,1
29560623,335066620,Undirected,685,,,1
29713255,44213703,Undirected,688,,,1
29713255,57179635,Undirected,689,,,1
29713255,99535897,Undirected,690,,,1
29713255,157945423,Undirected,691,,,1
30019096,30573135,Undirected,697,,,1
30019096,97673870,Undirected,698,,,1
30019096,103354854,Undirected,699,,,1
30019096,138385912,Undirected,700,,,1
30019096,141201828,Undirected,701,,,1
30019096,227089859,Undirected,702,,,1
30019096,234107988,Undirected,703,,,1
30019096,255783283,Undirected,704,,,1
30019096,297264347,Undirected,705,,,1
30019096,546700624,Undirected,706,,,1
30228633,30573135,Undirected,714,,,1
30228633,36726292,Undirected,715,,,1
30228633,82877090,Undirected,716,,,1
30228633,97673870,Undirected,717,,,1
30228633,101326289,Undirected,718,,,1
30228633,103354854,Undirected,719,,,1
30228633,137211660,Undirected,720,,,1
30228633,137694077,Undirected,721,,,1
30228633,138385912,Undirected,722,,,1
30228633,141201828,Undirected,723,,,1
30228633,151443934,Undirected,724,,,1
30554816,48038134,Undirected,732,,,1
30554816,51109331,Undirected,733,,,1
30554816,92102535,Undirected,734,,,1
30554816,110543924,Undirected,735,,,1
30554816,117257470,Undirected,736,,,1
30554816,163604438,Undirected,737,,,1
30554816,200219603,Undirected,738,,,1
30554816,238700453,Undirected,739,,,1
30554816,253520047,Undirected,740,,,1
30573135,97673870,Undirected,750,,,1
30573135,101326289,Undirected,751,,,1
30573135,103354854,Undirected,752,,,1
30573135,103505180,Undirected,753,,,1
30573135,105656625,Undirected,754,,,1
30573135,132535988,Undirected,755,,,1
30573135,138385912,Undirected,756,,,1
30573135,141201828,Undirected,757,,,1
30573135,151443934,Undirected,758,,,1
30573135,174482074,Undirected,759,,,1
30573135,234107988,Undirected,760,,,1
30573135,255783283,Undirected,761,,,1
30573135,335898091,Undirected,762,,,1
30573135,546700624,Undirected,763,,,1
32040312,105656625,Undirected,765,,,1
32040312,112840687,Undirected,766,,,1
32040312,546700624,Undirected,767,,,1
36726292,50030086,Undirected,779,,,1
36726292,82877090,Undirected,780,,,1
36726292,97673870,Undirected,781,,,1
36726292,101326289,Undirected,782,,,1
36726292,103354854,Undirected,783,,,1
36726292,137211660,Undirected,784,,,1
36726292,137694077,Undirected,785,,,1
36726292,138385912,Undirected,786,,,1
36726292,141201828,Undirected,787,,,1
36726292,151443934,Undirected,788,,,1
36726292,175647480,Undirected,789,,,1
41848358,48038134,Undirected,795,,,1
41848358,51474395,Undirected,796,,,1
41848358,81809586,Undirected,797,,,1
41848358,92102535,Undirected,798,,,1
41848358,99535897,Undirected,799,,,1
41848358,117257470,Undirected,800,,,1
41848358,118572183,Undirected,801,,,1
41848358,139538492,Undirected,802,,,1
41848358,238700453,Undirected,803,,,1
41848358,244474708,Undirected,804,,,1
41848358,591276730,Undirected,805,,,1
44213703,57516130,Undirected,809,,,1
44213703,99535897,Undirected,810,,,1
44213703,157945423,Undirected,811,,,1
44278930,57876533,Undirected,812,,,1
44278930,94858410,Undirected,813,,,1
44278930,237113671,Undirected,814,,,1
48038134,51109331,Undirected,827,,,1
48038134,51474395,Undirected,828,,,1
48038134,92102535,Undirected,829,,,1
48038134,95872161,Undirected,830,,,1
48038134,99535897,Undirected,831,,,1
48038134,117257470,Undirected,832,,,1
48038134,118572183,Undirected,833,,,1
48038134,139538492,Undirected,834,,,1
48038134,154318196,Undirected,835,,,1
48038134,200219603,Undirected,836,,,1
48038134,238700453,Undirected,837,,,1
48038134,244474708,Undirected,838,,,1
48038134,253520047,Undirected,839,,,1
48038134,591276730,Undirected,840,,,1
48038176,145583748,Undirected,841,,,1
48823116,117257470,Undirected,844,,,1
48823116,298914898,Undirected,845,,,1
50030086,97673870,Undirected,854,,,1
50030086,103354854,Undirected,855,,,1
50030086,138385912,Undirected,856,,,1
50030086,175647480,Undirected,857,,,1
51109331,51151239,Undirected,870,,,1
51109331,51474395,Undirected,871,,,1
51109331,75730636,Undirected,872,,,1
51109331,95872161,Undirected,873,,,1
51109331,117257470,Undirected,874,,,1
51109331,118572183,Undirected,875,,,1
51109331,238700453,Undirected,876,,,1
51109331,244474708,Undirected,877,,,1
51109331,253520047,Undirected,878,,,1
51109331,591276730,Undirected,879,,,1
51151239,51474395,Undirected,885,,,1
51151239,75730636,Undirected,886,,,1
51151239,92102535,Undirected,887,,,1
51151239,163604438,Undirected,888,,,1
51151239,169281899,Undirected,889,,,1
51415668,117257470,Undirected,897,,,1
51415668,238700453,Undirected,898,,,1
51474395,75730636,Undirected,911,,,1
51474395,92102535,Undirected,912,,,1
51474395,117257470,Undirected,913,,,1
51474395,169281899,Undirected,914,,,1
51474395,238700453,Undirected,915,,,1
55859088,57146654,Undirected,923,,,1
55859088,75730636,Undirected,924,,,1
55859088,92102535,Undirected,925,,,1
55859088,123135073,Undirected,926,,,1
55859088,335066620,Undirected,927,,,1
57146654,92102535,Undirected,936,,,1
57146654,123135073,Undirected,937,,,1
57146654,335066620,Undirected,938,,,1
57179635,64971391,Undirected,944,,,1
57179635,99535897,Undirected,945,,,1
57179635,157945423,Undirected,946,,,1
57179635,467822313,Undirected,947,,,1
57516130,99535897,Undirected,950,,,1
57516130,157945423,Undirected,951,,,1
57876533,137694077,Undirected,953,,,1
57876533,237113671,Undirected,954,,,1
64971391,298914898,Undirected,964,,,1
64971391,467822313,Undirected,965,,,1
71079139,298914898,Undirected,969,,,1
75730636,92102535,Undirected,984,,,1
75730636,112323601,Undirected,985,,,1
75730636,117257470,Undirected,986,,,1
75730636,123135073,Undirected,987,,,1
75730636,169281899,Undirected,988,,,1
79993521,92102535,Undirected,991,,,1
79993521,393042942,Undirected,992,,,1
81809586,95872161,Undirected,998,,,1
81809586,117257470,Undirected,999,,,1
81809586,118572183,Undirected,1000,,,1
81809586,154318196,Undirected,1001,,,1
81809586,238700453,Undirected,1002,,,1
81809586,244474708,Undirected,1003,,,1
81809586,591276730,Undirected,1004,,,1
82877090,97673870,Undirected,1013,,,1
82877090,137211660,Undirected,1014,,,1
92102535,112323601,Undirected,1038,,,1
92102535,117257470,Undirected,1039,,,1
92102535,118572183,Undirected,1040,,,1
92102535,123135073,Undirected,1041,,,1
92102535,139023671,Undirected,1042,,,1
92102535,154318196,Undirected,1043,,,1
92102535,157945423,Undirected,1044,,,1
92102535,169281899,Undirected,1045,,,1
92102535,238700453,Undirected,1046,,,1
92102535,244474708,Undirected,1047,,,1
92102535,253520047,Undirected,1048,,,1
92102535,335066620,Undirected,1049,,,1
92102535,393042942,Undirected,1050,,,1
94858410,105656625,Undirected,1054,,,1
94858410,227089859,Undirected,1055,,,1
94858410,237113671,Undirected,1056,,,1
94858410,546700624,Undirected,1057,,,1
95872161,117257470,Undirected,1064,,,1
95872161,118572183,Undirected,1065,,,1
95872161,139538492,Undirected,1066,,,1
95872161,238700453,Undirected,1067,,,1
95872161,244474708,Undirected,1068,,,1
95872161,591276730,Undirected,1069,,,1
97673870,101326289,Undirected,1088,,,1
97673870,103354854,Undirected,1089,,,1
97673870,103505180,Undirected,1090,,,1
97673870,137211660,Undirected,1091,,,1
97673870,137694077,Undirected,1092,,,1
97673870,138385912,Undirected,1093,,,1
97673870,141201828,Undirected,1094,,,1
97673870,151443934,Undirected,1095,,,1
97673870,227089859,Undirected,1096,,,1
97673870,335898091,Undirected,1097,,,1
97673870,467822313,Undirected,1098,,,1
99535897,157945423,Undirected,1110,,,1
99535897,467822313,Undirected,1111,,,1
101326289,103354854,Undirected,1122,,,1
101326289,132535988,Undirected,1123,,,1
101326289,137211660,Undirected,1124,,,1
101326289,138385912,Undirected,1125,,,1
101326289,141201828,Undirected,1126,,,1
101326289,151443934,Undirected,1127,,,1
101326289,335898091,Undirected,1128,,,1
103354854,137211660,Undirected,1143,,,1
103354854,138385912,Undirected,1144,,,1
103354854,141201828,Undirected,1145,,,1
103354854,151443934,Undirected,1146,,,1
103354854,335898091,Undirected,1147,,,1
103505180,105656625,Undirected,1152,,,1
103505180,209543255,Undirected,1153,,,1
105656625,107525704,Undirected,1165,,,1
105656625,112840687,Undirected,1166,,,1
105656625,120215321,Undirected,1167,,,1
105656625,157117061,Undirected,1168,,,1
105656625,174482074,Undirected,1169,,,1
105656625,187173047,Undirected,1170,,,1
105656625,222276427,Undirected,1171,,,1
105656625,227089859,Undirected,1172,,,1
105656625,234107988,Undirected,1173,,,1
105656625,255783283,Undirected,1174,,,1
105656625,297264347,Undirected,1175,,,1
105656625,343057187,Undirected,1176,,,1
105656625,546700624,Undirected,1177,,,1
107525704,112840687,Undirected,1179,,,1
107525704,174482074,Undirected,1180,,,1
107525704,222276427,Undirected,1181,,,1
107525704,234107988,Undirected,1182,,,1
107525704,343057187,Undirected,1183,,,1
107525704,546700624,Undirected,1184,,,1
110543924,200219603,Undirected,1187,,,1
110543924,253520047,Undirected,1188,,,1
112323601,117257470,Undirected,1198,,,1
112840687,157117061,Undirected,1205,,,1
112840687,174482074,Undirected,1206,,,1
112840687,209543255,Undirected,1207,,,1
112840687,546700624,Undirected,1208,,,1
117257470,118572183,Undirected,1232,,,1
117257470,139538492,Undirected,1233,,,1
117257470,154318196,Undirected,1234,,,1
117257470,169281899,Undirected,1235,,,1
117257470,244474708,Undirected,1236,,,1
117257470,253520047,Undirected,1237,,,1
117257470,591276730,Undirected,1238,,,1
118572183,139538492,Undirected,1253,,,1
118572183,154318196,Undirected,1254,,,1
118572183,238700453,Undirected,1255,,,1
118572183,244474708,Undirected,1256,,,1
118572183,253520047,Undirected,1257,,,1
118572183,591276730,Undirected,1258,,,1
120215321,546700624,Undirected,1260,,,1
123135073,169281899,Undirected,1279,,,1
123135073,238700453,Undirected,1280,,,1
123135073,335066620,Undirected,1281,,,1
132535988,138385912,Undirected,1288,,,1
132535988,141201828,Undirected,1289,,,1
132535988,335898091,Undirected,1290,,,1
137211660,137694077,Undirected,1305,,,1
137211660,138385912,Undirected,1306,,,1
137211660,141201828,Undirected,1307,,,1
137211660,151443934,Undirected,1308,,,1
137211660,335898091,Undirected,1309,,,1
138385912,141201828,Undirected,1342,,,1
138385912,146517989,Undirected,1343,,,1
138385912,151443934,Undirected,1344,,,1
138385912,335898091,Undirected,1345,,,1
139023671,169281899,Undirected,1353,,,1
139538492,154318196,Undirected,1362,,,1
139538492,238700453,Undirected,1363,,,1
139538492,244474708,Undirected,1364,,,1
139538492,591276730,Undirected,1365,,,1
141201828,151443934,Undirected,1386,,,1
141201828,227089859,Undirected,1387,,,1
141201828,234107988,Undirected,1388,,,1
141201828,335898091,Undirected,1389,,,1
141201828,546700624,Undirected,1390,,,1
146517989,185242892,Undirected,1393,,,1
154318196,238700453,Undirected,1417,,,1
154318196,244474708,Undirected,1418,,,1
154318196,591276730,Undirected,1419,,,1
157945423,227089859,Undirected,1435,,,1
163604438,238700453,Undirected,1443,,,1
163604438,335066620,Undirected,1444,,,1
169281899,298914898,Undirected,1463,,,1
174482074,234107988,Undirected,1468,,,1
174482074,546700624,Undirected,1469,,,1
190784271,227089859,Undirected,1477,,,1
200219603,253520047,Undirected,1483,,,1
209543255,222276427,Undirected,1487,,,1
209543255,255783283,Undirected,1488,,,1
209543255,546700624,Undirected,1489,,,1
222276427,546700624,Undirected,1494,,,1
227089859,546700624,Undirected,1510,,,1
234107988,255783283,Undirected,1519,,,1
234107988,343057187,Undirected,1520,,,1
234107988,546700624,Undirected,1521,,,1
238700453,244474708,Undirected,1550,,,1
238700453,591276730,Undirected,1551,,,1
244474708,253520047,Undirected,1568,,,1
244474708,591276730,Undirected,1569,,,1
255783283,297264347,Undirected,1588,,,1
255783283,343057187,Undirected,1589,,,1
255783283,546700624,Undirected,1590,,,1
297264347,546700624,Undirected,1594,,,1
298914898,540038266,Undirected,1604,,,1
343057187,546700624,Undirected,1632,,,1
